"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 05 04:04:44 UTC 2024","Mon Feb 05 04:04:45 UTC 2024","1621","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Mon Feb 05 04:26:56 UTC 2024","Mon Feb 05 04:27:07 UTC 2024","11390","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Mon Feb 05 03:08:18 UTC 2024","Mon Feb 05 03:08:23 UTC 2024","4890","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Mon Feb 05 03:03:49 UTC 2024","Mon Feb 05 03:03:52 UTC 2024","2372","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Mon Feb 05 04:04:33 UTC 2024","Mon Feb 05 04:04:37 UTC 2024","4301","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Mon Feb 05 03:03:23 UTC 2024","Mon Feb 05 03:03:49 UTC 2024","26462","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Mon Feb 05 04:07:58 UTC 2024","Mon Feb 05 04:09:11 UTC 2024","73643","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Mon Feb 05 02:54:09 UTC 2024","Mon Feb 05 02:55:18 UTC 2024","69231","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Mon Feb 05 02:49:39 UTC 2024","Mon Feb 05 02:49:40 UTC 2024","370","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Feb 05 02:48:47 UTC 2024","Mon Feb 05 02:48:58 UTC 2024","10777","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Mon Feb 05 03:31:53 UTC 2024","Mon Feb 05 03:31:57 UTC 2024","4250","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Mon Feb 05 03:08:01 UTC 2024","Mon Feb 05 03:08:17 UTC 2024","15353","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Mon Feb 05 02:48:17 UTC 2024","Mon Feb 05 02:48:35 UTC 2024","18198","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Feb 05 03:06:21 UTC 2024","Mon Feb 05 03:06:39 UTC 2024","18517","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Mon Feb 05 02:40:31 UTC 2024","Mon Feb 05 02:40:32 UTC 2024","459","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Feb 05 02:30:50 UTC 2024","Mon Feb 05 02:31:57 UTC 2024","66723","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Mon Feb 05 02:30:26 UTC 2024","Mon Feb 05 02:30:44 UTC 2024","18331","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Mon Feb 05 02:36:16 UTC 2024","Mon Feb 05 02:36:17 UTC 2024","241","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
